osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/6573859785,node,Farmacia,,,,,,,,19.4768618,-71.3401185
node/6593325185,node,Omayra 2,,,,,,,,18.4498592,-69.6383858
node/6593325285,node,Santa tejeda,,,,,,,,18.4542032,-69.639437
node/6593325685,node,Marfiel,,,,,,,,18.5350842,-69.8954373
node/6712179586,node,Villa esperanza,,,,,,,,18.521073,-69.8187005
node/6712179587,node,La misericordia,,,,,,,,18.5314803,-69.8110029
node/6712194685,node,Dona juana,,,,,,,,18.5357278,-69.8234059
node/6712194686,node,Gosen,,,,,,,,18.5252653,-69.809157
node/6712472986,node,Saona,,,,,,,,18.5212821,-69.8176295
node/6712472987,node,Farmacia Invivienda,,,,,,,,18.5141411,-69.8205355
node/6741493371,node,Farmacia,,,,,,,,19.2970384,-70.2606819
node/6774966785,node,Salud y bie n,,,,,,,,18.4966283,-69.9058848
node/6785715886,node,Iris,,,,,,,,18.5450954,-69.9310435
node/6785715887,node,Carmen elena,,,,,,,,18.5306334,-69.9231499
node/6785715888,node,Kenyi,,,,,,,,18.5374607,-69.9329167
node/6785723085,node,Pendiente,,,,,,,,18.5385982,-69.9381494
node/6785788485,node,Pinto,,,,,,,,18.5227226,-69.916393
node/6814093485,node,B rochit,,,,,,,,18.5410252,-69.8723613
node/6832746186,node,FARMACIA JUMAR,,,,,,,,18.5337552,-69.9428501
node/6874260885,node,Farmacia Carol,Avenida Independencia,,,,,24/7,,18.4589138,-69.9105025
node/7241853817,node,Farmacia sin nombre,,,,,,,,18.4739224,-69.8837421
node/7243043863,node,Farmacia sin nombre,,,,,,,,19.3213166,-69.5406522
node/7278381885,node,Estrella,,,,,,,,18.687491,-68.4449519
node/7281704537,node,Farnmacia Vista al Valle,"Avenida Caonabo, San Francisco De Macoris",San Francisco De Macoris,,,,Mo-Su 08:00-20:00,,19.3118744,-70.2672331
node/7281704792,node,Farmacia Norte,"Avenida 27 de Febrero, SAN FRANCISCO DE MACORIS",SAN FRANCISCO DE MACORIS,+18095882341,,,Mo-Su 08:00-22:00,,19.2994057,-70.2596651
node/7328193587,node,Farmacia alyali,,,,,,,,19.4536329,-70.7102338
node/7344345323,node,Farmacia Yamila,,,,,,,,18.488514,-69.9646121
node/8027001129,node,Farmacia Supermercado La Fuente,,,+18095834525,,,,Desintox,19.4304905,-70.6904037
node/8064116563,node,D Aurelia Farmacia,,,,,,,,18.5929465,-68.7063786
node/8064116569,node,Farmacia 5 estrella,,,,,,,,18.6029283,-68.7110684
